iter	RMSE
0	0.4655378545
1	0.446025355
2	0.424818368
3	0.40290459
4	0.3836737441
5	0.3670394974
6	0.3491235808
7	0.3346567904
8	0.319605317
9	0.3053093089
10	0.2912422311
11	0.2798346598
12	0.2715967013
13	0.2622565865
14	0.2538050467
15	0.2460912066
16	0.2386228592
17	0.2317403935
18	0.2241697296
19	0.2177225301
20	0.2112265088
21	0.2054725439
22	0.200102727
23	0.1949814126
24	0.1895411254
25	0.1850427879
26	0.1803018299
27	0.1763418912
28	0.1732761662
29	0.1698682178
30	0.1663228231
31	0.1630312438
32	0.1600186313
33	0.1577765205
34	0.1551475932
35	0.1528587115
36	0.1505250002
37	0.1481120101
38	0.1461091963
39	0.1441648607
40	0.1416176797
41	0.1400245937
42	0.1379892888
43	0.1364851461
44	0.134759486
45	0.1330768183
46	0.1311828976
47	0.1300864556
48	0.1285346881
49	0.1268611156
50	0.1256654121
51	0.1243779199
52	0.1236116691
53	0.1219024275
54	0.1208035604
55	0.1195244699
56	0.1182179045
57	0.1174015002
58	0.116810325
59	0.1154686549
60	0.1144217973
61	0.1136239478
62	0.1126970815
63	0.1120465902
64	0.1113317672
65	0.1101628164
66	0.1091756764
67	0.1081583371
68	0.1070695723
69	0.1064651306
70	0.1053629866
71	0.1046065255
72	0.1036608711
73	0.1027806351
74	0.1019314851
75	0.1010174307
76	0.1000407986
77	0.09902607031
78	0.09833547411
79	0.09756716202
80	0.09673097751
81	0.09593284955
82	0.09469995714
83	0.09373397827
84	0.09316467615
85	0.09214811431
86	0.09130919226
87	0.09089869305
88	0.08992133548
89	0.0890861594
90	0.08838094345
91	0.08779059569
92	0.0871564368
93	0.08629420391
94	0.08542456096
95	0.08477569034
96	0.0838426193
97	0.08285814011
98	0.08242108105
99	0.08183806535
